
For lr 0.00000500 ,rs 1000.0000 and bs 32.000000 Train Accuracy 0.2716 and Validation Accuracy 0.2775
For lr 0.00000500 ,rs 1000.0000 and bs 64.000000 Train Accuracy 0.2916 and Validation Accuracy 0.2970
For lr 0.00000500 ,rs 1000.0000 and bs 128.000000 Train Accuracy 0.3129 and Validation Accuracy 0.3135
For lr 0.00000500 ,rs 1000.0000 and bs 150.000000 Train Accuracy 0.3176 and Validation Accuracy 0.3215
For lr 0.00000500 ,rs 1000.0000 and bs 300.000000 Train Accuracy 0.3426 and Validation Accuracy 0.3465
For lr 0.00000500 ,rs 1000.0000 and bs 600.000000 Train Accuracy 0.3607 and Validation Accuracy 0.3585
For lr 0.00000500 ,rs 1000.0000 and bs 1000.000000 Train Accuracy 0.3528 and Validation Accuracy 0.3400
For lr 0.00000500 ,rs 10000.0000 and bs 32.000000 Train Accuracy 0.2717 and Validation Accuracy 0.2785
For lr 0.00000500 ,rs 10000.0000 and bs 64.000000 Train Accuracy 0.2900 and Validation Accuracy 0.2955
For lr 0.00000500 ,rs 10000.0000 and bs 128.000000 Train Accuracy 0.3107 and Validation Accuracy 0.3115
For lr 0.00000500 ,rs 10000.0000 and bs 150.000000 Train Accuracy 0.3148 and Validation Accuracy 0.3175
For lr 0.00000500 ,rs 10000.0000 and bs 300.000000 Train Accuracy 0.3391 and Validation Accuracy 0.3445
For lr 0.00000500 ,rs 10000.0000 and bs 600.000000 Train Accuracy 0.3590 and Validation Accuracy 0.3540
For lr 0.00000500 ,rs 10000.0000 and bs 1000.000000 Train Accuracy 0.3575 and Validation Accuracy 0.3410
For lr 0.00000500 ,rs 100000.0000 and bs 32.000000 Train Accuracy 0.2467 and Validation Accuracy 0.2635
For lr 0.00000500 ,rs 100000.0000 and bs 64.000000 Train Accuracy 0.2634 and Validation Accuracy 0.2710
For lr 0.00000500 ,rs 100000.0000 and bs 128.000000 Train Accuracy 0.2819 and Validation Accuracy 0.2950
For lr 0.00000500 ,rs 100000.0000 and bs 150.000000 Train Accuracy 0.2841 and Validation Accuracy 0.2955
For lr 0.00000500 ,rs 100000.0000 and bs 300.000000 Train Accuracy 0.3045 and Validation Accuracy 0.3135
For lr 0.00000500 ,rs 100000.0000 and bs 600.000000 Train Accuracy 0.3264 and Validation Accuracy 0.3295
For lr 0.00000500 ,rs 100000.0000 and bs 1000.000000 Train Accuracy 0.3385 and Validation Accuracy 0.3370
For lr 0.00000500 ,rs 1000000.0000 and bs 32.000000 Train Accuracy 0.2438 and Validation Accuracy 0.2505
For lr 0.00000500 ,rs 1000000.0000 and bs 64.000000 Train Accuracy 0.2524 and Validation Accuracy 0.2685
For lr 0.00000500 ,rs 1000000.0000 and bs 128.000000 Train Accuracy 0.2436 and Validation Accuracy 0.2560
For lr 0.00000500 ,rs 1000000.0000 and bs 150.000000 Train Accuracy 0.2467 and Validation Accuracy 0.2570
For lr 0.00000500 ,rs 1000000.0000 and bs 300.000000 Train Accuracy 0.2612 and Validation Accuracy 0.2740
For lr 0.00000500 ,rs 1000000.0000 and bs 600.000000 Train Accuracy 0.2717 and Validation Accuracy 0.2905
For lr 0.00000500 ,rs 1000000.0000 and bs 1000.000000 Train Accuracy 0.2838 and Validation Accuracy 0.2915
For lr 0.00000500 ,rs 10000000.0000 and bs 32.000000 Train Accuracy 0.0759 and Validation Accuracy 0.0790
For lr 0.00000500 ,rs 10000000.0000 and bs 64.000000 Train Accuracy 0.0828 and Validation Accuracy 0.0885
For lr 0.00000500 ,rs 10000000.0000 and bs 128.000000 Train Accuracy 0.0734 and Validation Accuracy 0.0715
For lr 0.00000500 ,rs 10000000.0000 and bs 150.000000 Train Accuracy 0.0880 and Validation Accuracy 0.0830
