
Here are test results on Softmax Classifier

For lr 0.00000300 ,rs 100.0000 and bs 32.000000 Train Accuracy 0.3150 and Validation Accuracy 0.2670
For lr 0.00000300 ,rs 100.0000 and bs 64.000000 Train Accuracy 0.3251 and Validation Accuracy 0.2880
For lr 0.00000300 ,rs 100.0000 and bs 128.000000 Train Accuracy 0.3499 and Validation Accuracy 0.3035
For lr 0.00000300 ,rs 100.0000 and bs 150.000000 Train Accuracy 0.3558 and Validation Accuracy 0.3195
For lr 0.00000300 ,rs 100.0000 and bs 300.000000 Train Accuracy 0.3709 and Validation Accuracy 0.3110
For lr 0.00000300 ,rs 100.0000 and bs 600.000000 Train Accuracy 0.3810 and Validation Accuracy 0.3215
For lr 0.00000300 ,rs 100.0000 and bs 1000.000000 Train Accuracy 0.3856 and Validation Accuracy 0.3240
For lr 0.00000020 ,rs 100.0000 and bs 32.000000 Train Accuracy 0.3533 and Validation Accuracy 0.2645
For lr 0.00000020 ,rs 100.0000 and bs 64.000000 Train Accuracy 0.3661 and Validation Accuracy 0.2900
For lr 0.00000020 ,rs 100.0000 and bs 128.000000 Train Accuracy 0.3862 and Validation Accuracy 0.3295
For lr 0.00000020 ,rs 100.0000 and bs 150.000000 Train Accuracy 0.3874 and Validation Accuracy 0.3230
For lr 0.00000020 ,rs 100.0000 and bs 300.000000 Train Accuracy 0.3974 and Validation Accuracy 0.3180
For lr 0.00000020 ,rs 100.0000 and bs 600.000000 Train Accuracy 0.3986 and Validation Accuracy 0.3255
For lr 0.00000020 ,rs 100.0000 and bs 1000.000000 Train Accuracy 0.3914 and Validation Accuracy 0.3275
For lr 0.00000080 ,rs 100.0000 and bs 32.000000 Train Accuracy 0.3325 and Validation Accuracy 0.2800
For lr 0.00000080 ,rs 100.0000 and bs 64.000000 Train Accuracy 0.3492 and Validation Accuracy 0.2925
For lr 0.00000080 ,rs 100.0000 and bs 128.000000 Train Accuracy 0.3607 and Validation Accuracy 0.3215
For lr 0.00000080 ,rs 100.0000 and bs 150.000000 Train Accuracy 0.3638 and Validation Accuracy 0.3150
For lr 0.00000080 ,rs 100.0000 and bs 300.000000 Train Accuracy 0.3764 and Validation Accuracy 0.3215
